"Complete your %1 and pick a %2 above. Payment options appear once your shipping is saved.","Complete your %1 and pick a %2 above. Payment options appear once your shipping is saved."
"Continue to shipping","Continue to shipping"
"Continue to payment","Continue to payment"
"Return to information","Return to information"
"Back to cart","Back to cart"
"Shipping","Shipping"
"zip","zip"
"form hidden while one is selected","form hidden while one is selected"
"Order Summary","Order Summary"
"We'll send your order confirmation and receipt to this email.","We'll send your order confirmation and receipt to this email."
"Edit","Edit"
"Method","Method"
"Shipping to","Shipping to"
"Not you? Sign out","Not you? Sign out"
